"2012 VOTES CAST FOR THE U.S. HOUSE OF REPRESENTATIVES BY PARTY","","","","","",""
"(Updated)","","","","","",""
"","","","","","",""
"","PRIMARY ELECTION","PRIMARY ELECTION","PRIMARY ELECTION","GENERAL ELECTION","GENERAL ELECTION","GENERAL ELECTION"
"State","Democratic","Republican","Other","Democratic","Republican","Other"
"AL","29614.0","300101.0","5741.0","693498.0","1233624.0","6508.0"
"AK","32448.0","74809.0","","82927.0","185296.0","21581.0"
"AS","","","","7659.0","","5417.0"
"AZ","307282.0","487978.0","988.0","946994.0","1131663.0","94660.0"
"AR","156759.0","36312.0","","304770.0","637591.0","95693.0"
"CA","2643313.0","2080896.0","233659.0","7392703.0","4530012.0","281642.0"
"CO","180735.0","294734.0","600.0","1080454.0","1143796.0","226589.0"
"CT","28515.0","51008.0","","884398.0","490580.0","91533.0"
"DE","","22906.0","","249933.0","129757.0","8369.0"
"DC","54355.0","769.0","393.0","246664.0","","31899.0"
"FL","298223.0","552669.0","","3392402.0","3826522.0","294610.0"
"GA","415556.0","961430.0","","1448869.0","2104098.0","620.0"
"GU","10765.0","5391.0","89.0","19765.0","12995.0","246.0"
"HI","223664.0","42058.0","","285008.0","137531.0",""
"ID","22610.0","144959.0","","208297.0","406814.0","20107.0"
"IL","642996.0","758358.0","","2743702.0","2207818.0","106613.0"
"IN","233573.0","586009.0","","1142554.0","1351760.0","59432.0"
"IA","52803.0","118980.0","","772387.0","726505.0","37957.0"
"KS","45569.0","254106.0","","195505.0","740981.0","121253.0"
"KY","131086.0","68200.0","","791342.0","1201674.0","43038.0"
"LA","","","","359190.0","1239614.0","203400.0"
"ME","53860.0","60086.0","","427819.0","265982.0",""
"MD","306054.0","208925.0","","1626872.0","858406.0","100236.0"
"MA","336293.0","103897.0","259.0","2080594.0","697637.0","113203.0"
"MI","541365.0","708272.0","","2487243.0","2238540.0","177986.0"
"MN","168705.0","117799.0","545.0","1560984.0","1210409.0","41990.0"
"MS","93265.0","270170.0","","411398.0","703635.0","93142.0"
"MO","283688.0","577131.0","2664.0","1119554.0","1463586.0","92760.0"
"MT","80824.0","116275.0","","204939.0","255468.0","19333.0"
"NE","68593.0","183938.0","5923.0","276239.0","496276.0",""
"NV","37669.0","57158.0","","453310.0","457239.0","63193.0"
"NH","79945.0","104495.0","","340925.0","311636.0","29855.0"
"NJ","346914.0","214910.0","","1960820.0","1430386.0","61661.0"
"NM","125791.0","80504.0","","422189.0","323269.0","632.0"
"NY","225233.0","74250.0","447.0","3904513.0","1949229.0","615983.0"
"NC","538280.0","815717.0","","2218357.0","2137167.0","28588.0"
"ND","51824.0","99933.0","701.0","131869.0","173433.0","10769.0"
"MP","","","","","2503.0","9829.0"
"OH","531542.0","1004020.0","2229.0","2412451.0","2620251.0","107613.0"
"OK","151088.0","165640.0","","410324.0","856872.0","58739.0"
"OR","314282.0","236747.0","","949660.0","687839.0","70669.0"
"PA","633717.0","709982.0","","2793538.0","2710070.0","56987.0"
"PR","0.0","","","","","1856345.0"
"RI","78515.0","8050.0","","232679.0","161926.0","33170.0"
"SC","70781.0","96104.0","","714191.0","1026129.0","62414.0"
"SD","30253.0","","","153789.0","207640.0",""
"TN","163367.0","435726.0","","796513.0","1369562.0","117652.0"
"TX","630618.0","1440292.0","","2949900.0","4429270.0","285038.0"
"UT","5825.0","","","324309.0","647873.0","26715.0"
"VT","37222.0","7957.0","379.0","208600.0","67543.0","13788.0"
"VI","7151.0","203.0","","11512.0","2131.0","5527.0"
"VA","37859.0","128262.0","","1806025.0","1876761.0","57669.0"
"WA","798515.0","685141.0","52806.0","1852870.0","1511131.0",""
"WV","162693.0","101455.0","","257101.0","384253.0",""
"WI","178726.0","445465.0","100.0","1445015.0","1401995.0","19040.0"
"WY","16436.0","74546.0","","57573.0","166452.0","17596.0"
"Total:","12696759.0","16174723.0","307523.0","60252696.0","58541130.0","5999289.0"
"","","","","","",""
"","","29179005.0","","","124793115.0",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Notes on Charts","","","","","",""
"","","","","","",""
"*  Runoff election vote totals have been included with the primary election totals.  (For the U.S. Senate, a runoff election was held in Texas.  For the U.S. House of Representatives, runoff elections were held in Arkansas, Georgia, North Carolina, Oklahoma, South Carolina and Texas.)  For Louisiana, the December election vote totals have been included with the general election totals.","","","","","",""
"","","","","","",""
"* For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Kentucky (KY/04), Michigan (MI/11), New Jersey (NJ/10) and Washington (WA/01).","","","","","",""
"","","","","","",""
"The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.","","","","","",""
"","","","","","",""
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.","","","","","",""
"","","","","","",""
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.","","","","","",""
"","","","","","",""
"*  33 states had regularly scheduled U.S. Senate elections in 2012.","","","","","",""
