"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)","Notes (See Endnotes Tab)"
"618.0","Colorado","CO","05","H6CO05209","","Richard D.","Hand","Hand, Richard D.","","W","","","","","41.0","0.00019830137940374162","","","","",""
"619.0","Colorado","CO","05","H6CO05225","","Brian X. ","Scott","Scott, Brian X. ","","W","","","","","12.0","5.8039428118168274e-05","","","","",""
"620.0","Colorado","CO","05","H6CO05217","","Gregory S. ","Hollister","Hollister, Gregory S. ","","W","","","","","8.0","3.869295207877885e-05","","","","",""
"621.0","Colorado","CO","05","","","","","","District Votes:","","66330.0","","","","206756.0","","","","","",""
"622.0","Colorado","CO","06","H8CO06054","(I)","Tom","Tancredo","Tancredo, Tom","","REP","44039.0","1.0","","","158806.0","0.5861492409506479","","","","",""
"623.0","Colorado","CO","06","","","","","","Party Votes:","REP","44039.0","","","","","","","","","",""
"624.0","Colorado","CO","06","H6CO06033","","Bill","Winter","Winter, Bill","","DEM","18673.0","1.0","","","108007.0","0.39865131712502444","","","","",""
"625.0","Colorado","CO","06","","","","","","Party Votes:","DEM","18673.0","","","","","","","","","",""
"626.0","Colorado","CO","06","H4CO06020","","Jack J.","Woehr","Woehr, Jack J.","","LBT","","","","","4093.0","0.015107167507594185","","","","",""
"627.0","Colorado","CO","06","H6CO06041","","Juan B.","Botero","Botero, Juan B.","","W","","","","","25.0","9.227441673341182e-05","","","","",""
"628.0","Colorado","CO","06","","","","","","District Votes:","","62712.0","","","","270931.0","","","","","",""
"629.0","Colorado","CO","07","H6CO07023","","Ed","Perlmutter","Perlmutter, Ed","","DEM","15598.0","0.5329005807994533","","","103918.0","0.5493307677668999","","","","",""
"630.0","Colorado","CO","07","H6CO07031","","Peggy","Lamm","Lamm, Peggy","","DEM","11047.0","0.3774171506662111","","","","","","","","",""
"631.0","Colorado","CO","07","H6CO07049","","Herb ","Rubenstein","Rubenstein, Herb ","","DEM","2625.0","0.0896822685343355","","","","","","","","",""
"632.0","Colorado","CO","07","","","","","","Party Votes:","DEM","29270.0","","","","","","","","","",""
"633.0","Colorado","CO","07","H2CO07055","","Rick ","O'Donnell","O'Donnell, Rick ","","REP","20535.0","1.0","","","79571.0","0.42062778846763793","","","","",""
"634.0","Colorado","CO","07","","","","","","Party Votes:","REP","20535.0","","","","","","","","","",""
"635.0","Colorado","CO","07","H2CO07089","","Dave","Chandler","Chandler, Dave","","GRE","","","","","3073.0","0.01624447592666991","","","","",""
"636.0","Colorado","CO","07","H6CO07064","","Roger","McCarville","McCarville, Roger","","AMC","","","","","2605.0","0.013770536865920962","","","","",""
"637.0","Colorado","CO","07","H6CO07015","","John ","Heckman","Heckman, John ","","W","","","","","2.0","1.0572389148499777e-05","","","","",""
"638.0","Colorado","CO","07","H6CO07072","","Steve","Moore","Moore, Steve","","W","","","","","2.0","1.0572389148499777e-05","","","","",""
"639.0","Colorado","CO","07","H6CO07080","","John David","Sexton","Sexton, John David","","W","","","","","1.0","5.286194574249889e-06","","","","",""
"640.0","Colorado","CO","07","","","","","","District Votes:","","49805.0","","","","189172.0","","","","","",""
"641.0","Colorado","CO","H","","","","","","House Votes:","","342924.0","","","","1538908.0","","","","","",""
"642.0","Connecticut","CT","S","S8CT00022","(I)","Joseph ","Lieberman","Lieberman, Joseph ","","DEM/CFL*","136490.0","0.48247753575544194","","","564095.0","0.49709635347820724","","","","","2.0"
"643.0","Connecticut","CT","S","S6CT05066","","Ned","Lamont","Lamont, Ned","","DEM","146404.0","0.5175224642445581","","","450844.0","0.3972963922522427","","","","","2.0"
"644.0","Connecticut","CT","S","","","","","","Party Votes:","DEM","282894.0","","","","","","","","","","2.0"
"645.0","Connecticut","CT","S","S6CT05074","","Alan","Schlesinger","Schlesinger, Alan","","REP","","","","","109198.0","0.09622834381994748","","","","","2.0"
"646.0","Connecticut","CT","S","S6CT05041","","Ralph A.","Ferrucci","Ferrucci, Ralph A.","","GRE","","","","","5922.0","0.005218632686511923","","","","","2.0"
"647.0","Connecticut","CT","S","S4CT00153","","Timothy A. ","Knibbs","Knibbs, Timothy A. ","","CNC","","","","","4638.0","0.004087135832496167","","","","","2.0"
"648.0","Connecticut","CT","S","","","Carl E.","Vassar","Vassar, Carl E.","","W","","","","","80.0","7.049824635612189e-05","","","","","2.0"
"649.0","Connecticut","CT","S","","","John M.","Joy","Joy, John M.","","W","","","","","3.0","2.643684238354571e-06","","","","","2.0"
"650.0","Connecticut","CT","S","","","","","","Senate Votes:","","282894.0","","","","1134780.0","","","","","","2.0"
"651.0","Connecticut","CT","01","H8CT01046","(I)","John B.","Larson","Larson, John B.","","DEM","","","","","154539.0","0.7444362017804155","","","","","3.0"
"652.0","Connecticut","CT","01","H6CT01149","","Scott","MacLean","MacLean, Scott","","REP","1998.0","0.635092180546726","","","53010.0","0.2553566611430113","","","","","3.0"
"653.0","Connecticut","CT","01","H2CT01130","","Miriam J.","Masullo","Masullo, Miriam J.","","REP","1148.0","0.364907819453274","","","","","","","","","3.0"
"654.0","Connecticut","CT","01","","","","","","Party Votes:","REP","3146.0","","","","","","","","","","3.0"
"655.0","Connecticut","CT","01","","","Stephen","Fournier","Masullo, Miriam J.","","W","","","","","43.0","0.00020713707657327835","","","","","3.0"
"656.0","Connecticut","CT","01","","","","","","District Votes:","","3146.0","","","","207592.0","","","","","","3.0"
"657.0","Connecticut","CT","02","H2CT02112","","Joe","Courtney","Courtney, Joe","","DEM","","","","","121248.0","0.5001711954391885","","","","","3.0"
"658.0","Connecticut","CT","02","H0CT02124","(I)","Rob","Simmons","Simmons, Rob","","REP","","","","","121165.0","0.4998288045608115","","","","","3.0"
"659.0","Connecticut","CT","02","","","","","","District Votes:","","","","","","242413.0","","","","","","3.0"
"660.0","Connecticut","CT","03","H0CT03072","(I)","Rosa L. ","DeLauro","DeLauro, Rosa L. ","","DEM","","","","","150436.0","0.7601194476305005","","","","","3.0"
"661.0","Connecticut","CT","03","H6CT03129","","Joseph","Vollano","Vollano, Joseph","","REP","","","","","44386.0","0.22427252653970725","","","","","3.0"
"662.0","Connecticut","CT","03","H6CT03137","","Daniel A.","Sumrall","Sumrall, Daniel A.","","GRE","","","","","3089.0","0.015608025829792179","","","","","3.0"
"663.0","Connecticut","CT","03","","","","","","District Votes:","","","","","","197911.0","","","","","","3.0"
"664.0","Connecticut","CT","04","H8CT04057","(I)","Christopher","Shays","Shays, Christopher","","REP","","","","","106510.0","0.509570900253087","","","","","3.0"
"665.0","Connecticut","CT","04","H4CT04098","","Diane ","Farrell","Farrell, Diane ","","DEM","","","","","99450.0","0.475794066568111","","","","","3.0"
"666.0","Connecticut","CT","04","H6CT04101","","Philip Z. ","Maymin","Maymin, Philip Z. ","","LBT","","","","","3058.0","0.014630248924738899","","","","","3.0"
"667.0","Connecticut","CT","04","","","","Vacancy in Nomination","Vacancy in Nomination","","GRE","","","","","1.0","4.784254063027763e-06","","","","","3.0"
"668.0","Connecticut","CT","04","","","","","","District Votes:","","","","","","209019.0","","","","","","3.0"
"669.0","Connecticut","CT","05","H6CT05124","","Chris","Murphy","Murphy, Chris","","DEM","","","","","117186.0","0.5380341958825366","","","","","3.0"
"670.0","Connecticut","CT","05","H2CT06014","(I)","Nancy L.","Johnson","Johnson, Nancy L.","","REP","","","","","94824.0","0.4353639051624396","","","","","3.0"
"671.0","Connecticut","CT","05","H6CT05124","","Chris","Murphy","Murphy, Chris","","WF","","","","","5794.0","0.026601898955023785","","","","","3.0"
"672.0","Connecticut","CT","05","","","","","","District Votes:","","","","","","217804.0","","","","","","3.0"
"673.0","Connecticut","CT","H","","","","","","House Votes:","","3146.0","","","","1074739.0","","","","","","3.0"
"674.0","Delaware","DE","S","S8DE00079","(I)","Thomas R.","Carper","Carper, Thomas R.","","DEM","Unopposed","","","","170567.0","0.6712619884375775","","","","",""
"675.0","Delaware","DE","S","S6DE00123","","Jan","Ting","Ting, Jan","","REP","6110.0","0.42471847629639925","","","69734.0","0.27443634174081755","","","","",""
"676.0","Delaware","DE","S","S6DE00115","","Michael D.","Protack","Protack, Michael D.","","REP","5771.0","0.40115389962463505","","","","","","","","",""
"677.0","Delaware","DE","S","S6DE00131","","Christine","O'Donnell","O'Donnell, Christine","","REP/W","2505.0","0.17412762407896565","","","11127.0","0.04379001885092031","","","","",""
"678.0","Delaware","DE","S","","","","","","Party Votes:","REP","14386.0","","","","","","","","","",""
"679.0","Delaware","DE","S","S6DE00149","","William E.","Morris","Morris, William E.","","LBT","","","","","2671.0","0.010511650970684655","","","","",""
"680.0","Delaware","DE","S","","","","","","Senate Votes:","","14386.0","","","","254099.0","","","","","",""
"681.0","Delaware","DE","00","H2DE00072","(I)","Michael N.","Castle","Castle, Michael N.","","REP","Unopposed","","","","143897.0","0.5717140654922247","","","","",""
"682.0","Delaware","DE","00","H6DE00172","","Dennis","Spivack","Spivack, Dennis","","DEM","9515.0","0.6034373414510401","","","97565.0","0.38763339610797237","","","","",""
"683.0","Delaware","DE","00","H6DE00180","","Karen M.","Hartley-Nagle","Hartley-Nagle, Karen M.","","DEM","6253.0","0.39656265854895995","","","","","","","","",""
"684.0","Delaware","DE","00","","","","","","Party Votes:","DEM","15768.0","","","","","","","","","",""
"685.0","Delaware","DE","00","H6DE00180","","Karen M.","Hartley-Nagle","Hartley-Nagle, Karen M.","","IDE","","","","","5769.0","0.022920689408567545","","","","",""
"686.0","Delaware","DE","00","H6DE01063","","Michael","Berg","Berg, Michael","","GRE*","","","","","4463.0","0.01773184899123539","","","","",""
"687.0","Delaware","DE","00","","","","","","District Votes:","","15768.0","","","","251694.0","","","","","",""
"688.0","Delaware","DE","H","","","","","","House Votes:","","15768.0","","","","251694.0","","","","","",""
"689.0","District of Columbia","DC","00","H0DC00058","(I)","Eleanor Holmes","Norton","Norton, Eleanor Holmes","","DEM","95419.0","0.9283177833772753","","","111726.0","0.9734180192895789","","","","",""
"690.0","District of Columbia","DC","00","H6DC00154","","Andy","Miscuk","Miscuk, Andy","","DEM","6681.0","0.06499849202720188","","","","","","","","",""
"691.0","District of Columbia","DC","00","","","","Scattered","Scattered","","W(DEM)","687.0","0.00668372459552278","","","","","","","","",""
"692.0","District of Columbia","DC","00","","","","","","Party Votes:","DEM","102787.0","","","","","","","","","",""
"693.0","District of Columbia","DC","00","","","","Scattered","Scattered","","W(REP)","616.0","1.0","","","","","","","","",""
"694.0","District of Columbia","DC","00","","","","","","Party Votes:","REP","616.0","","","","","","","","","",""
"695.0","District of Columbia","DC","00","","","","Scattered","Scattered","","W(DCG)","230.0","1.0","","","","","","","","",""
"696.0","District of Columbia","DC","00","","","","","","Party Votes:","DCG","230.0","","","","","","","","","",""
"697.0","District of Columbia","DC","00","","","","Scattered","Scattered","","","","","","","3051.0","0.026581980710421078","","","","",""
"698.0","District of Columbia","DC","00","","","","","","District Votes:","","103633.0","","","","114777.0","","","","","",""
"699.0","District of Columbia","DC","H","","","","","","House Votes:","","103633.0","","","","114777.0","","","","","",""
"700.0","Florida","FL","S","S8FL00166","(I)","Bill","Nelson","Nelson, Bill","","DEM","Unopposed","","","","2890548.0","0.6030098044574211","","","","",""
"701.0","Florida","FL","S","S6FL00178","","Katherine ","Harris","Harris, Katherine ","","REP","474871.0","0.4943205358016518","","","1826127.0","0.3809563048890443","","","","",""
"702.0","Florida","FL","S","S6FL00236","","William ""Will""","McBride","McBride, William ""Will""","","REP","287741.0","0.2995261561394633","","","","","","","","",""
"703.0","Florida","FL","S","S6FL00202","","LeRoy Jr.","Collins","Collins, LeRoy Jr.","","REP","146712.0","0.15272095884678563","","","","","","","","",""
"704.0","Florida","FL","S","S6FL00228","","Peter ","Monroe","Monroe, Peter ","","REP","51330.0","0.05343234921209926","","","","","","","","",""
"705.0","Florida","FL","S","","","","","","Party Votes:","REP","960654.0","","","","","","","","","",""
"706.0","Florida","FL","S","S6FL00194","","Belinda","Noah","Noah, Belinda","","IND","","","","","24880.0","0.005190325133815677","","","","",""
"707.0","Florida","FL","S","S6FL00210","","Brian","Moore","Moore, Brian","","IND","","","","","19695.0","0.004108659707013657","","","","",""
"708.0","Florida","FL","S","S6FL00186","","Floyd Ray","Frazier","Frazier, Floyd Ray","","IND","","","","","16628.0","0.0034688394825195773","","","","",""
"709.0","Florida","FL","S","S6FL00244","","Roy","Tanner","Tanner, Roy","","IND","","","","","15562.0","0.003246456580885835","","","","",""
"710.0","Florida","FL","S","S6FL00251","","Lawrence","Scott","Scott, Lawrence","","W","","","","","78.0","1.627191963173725e-05","","","","",""
"711.0","Florida","FL","S","S6FL00269","","Bernard","Senter","Senter, Bernard","","W","","","","","16.0","3.3378296680486672e-06","","","","",""
"712.0","Florida","FL","S","","","","","","Senate Votes:","","960654.0","","","","4793534.0","","","","","",""
"713.0","Florida","FL","01","H2FL01100","(I)","Jeff","Miller","Miller, Jeff","","REP","Unopposed","","","","135786.0","0.685351745858696","","","","",""
"714.0","Florida","FL","01","H6FL01077","","Joe","Roberts","Roberts, Joe","","DEM","Unopposed","","","","62340.0","0.31464825414130404","","","","",""
"715.0","Florida","FL","01","","","","","","District Votes:","","","","","","198126.0","","","","","",""
"716.0","Florida","FL","02","H6FL00046","(I)","Allen","Boyd","Boyd, Allen","","DEM","Unopposed","","","","Unopposed","","","","","",""
"717.0","Florida","FL","02","","","","","","District Votes:","","","","","","","","","","","",""
"718.0","Florida","FL","03","H2FL03056","(I)","Corrine","Brown","Brown, Corrine","","DEM","Unopposed","","","","Unopposed","","","","","",""
"719.0","Florida","FL","03","","","","","","District Votes:","","","","","","","","","","","",""
"720.0","Florida","FL","04","H0FL04066","(I)","Ander","Crenshaw","Crenshaw, Ander","","REP","Unopposed","","","","141759.0","0.6966763154920164","","","","",""
"721.0","Florida","FL","04","H6FL04071","","Robert J. ","Harms","Harms, Robert J. ","","DEM","Unopposed","","","","61704.0","0.3032450523149809","","","","",""
"722.0","Florida","FL","04","H6FL04089","","John","Blade","Blade, John","","W","","","","","16.0","7.863219300271772e-05","","","","",""
"723.0","Florida","FL","04","","","","","","District Votes:","","","","","","203479.0","","","","","",""
"724.0","Florida","FL","05","H2FL05127","(I)","Virginia ""Ginny""","Brown-Waite","Brown-Waite, Virginia ""Ginny""","","REP","Unopposed","","","","162421.0","0.5985002579408947","","","","",""
"725.0","Florida","FL","05","H4FL05032","","John T.","Russell","Russell, John T.","","DEM","20521.0","0.48795624777077634","","","108959.0","0.4014997420591053","","","","",""
"726.0","Florida","FL","05","H4FL05040","","Richard John","Penberthy","Penberthy, Richard John","","DEM","16393.0","0.38979907264296754","","","","","","","","",""
"727.0","Florida","FL","05","H2FL05150","","H. ""David""","Werder","Werder, H. ""David""","","DEM","5141.0","0.1222446795862561","","","","","","","","",""
"728.0","Florida","FL","05","","","","","","Party Votes:","DEM","42055.0","","","","","","","","","",""
"729.0","Florida","FL","05","","","","","","District Votes:","","42055.0","","","","271380.0","","","","","",""
"730.0","Florida","FL","06","H8FL06056","(I)","Clifford (Cliff) B.","Stearns","Stearns, Clifford (Cliff) B.","","REP","Unopposed","","","","136601.0","0.5987884048060527","","","","",""
"731.0","Florida","FL","06","H2FL06091","","David E.","Bruderly","Bruderly, David E.","","DEM","Unopposed","","","","91528.0","0.4012115951939473","","","","",""
"732.0","Florida","FL","06","","","","","","District Votes:","","","","","","228129.0","","","","","",""
"733.0","Florida","FL","07","H2FL08055","(I)","John L.","Mica","Mica, John L.","","REP","Unopposed","","","","149656.0","0.6308211094250548","","","","",""
"734.0","Florida","FL","07","H6FL07090","","John F. ","Chagnon","Chagnon, John F. ","","DEM","Unopposed","","","","87584.0","0.3691788905749452","","","","",""
"735.0","Florida","FL","07","","","","","","District Votes:","","","","","","237240.0","","","","","",""
"736.0","Florida","FL","08","H0FL08042","(I)","Ric ","Keller","Keller, Ric ","","REP","30707.0","0.7247686933534743","","","95258.0","0.5279089357362949","","","","",""
"737.0","Florida","FL","08","H6FL08189","","Elizabeth ","Doran","Doran, Elizabeth ","","REP","11661.0","0.2752313066465257","","","","","","","","",""
"738.0","Florida","FL","08","","","","","","Party Votes:","REP","42368.0","","","","","","","","","",""
"739.0","Florida","FL","08","H6FL08163","","Charlie","Stuart","Stuart, Charlie","","DEM","12728.0","0.4772582399040084","","","82526.0","0.45734964864445476","","","","",""
"740.0","Florida","FL","08","H6FL08213","","Alan ","Grayson","Grayson, Alan ","","DEM","9691.0","0.36338070418838353","","","","","","","","",""
"741.0","Florida","FL","08","H6FL08171","","Homer ","Hartage","Hartage, Homer ","","DEM","4250.0","0.15936105590760807","","","","","","","","",""
"742.0","Florida","FL","08","","","","","","Party Votes:","DEM","26669.0","","","","","","","","","",""
"743.0","Florida","FL","08","H6FL08205","","Wes ","Hoaglund","Hoaglund, Wes ","","IND","","","","","2640.0","0.014630577907827359","","","","",""
"744.0","Florida","FL","08","H6FL08221","","D.J. ","Mauro","Mauro, D.J. ","","W","","","","","17.0","9.421205470949435e-05","","","","",""
"745.0","Florida","FL","08","H6FL08239","","Larry ","Sapp","Sapp, Larry ","","W","","","","","3.0","1.662565671344018e-05","","","","",""
"746.0","Florida","FL","08","","","","","","District Votes:","","69037.0","","","","180444.0","","","","","",""
"747.0","Florida","FL","09","H6FL09070","","Gus Michael","Bilirakis","Bilirakis, Gus Michael","","REP","40603.0","0.8199644573690376","","","123016.0","0.5591305968283692","","","","",""
"748.0","Florida","FL","09","H6FL09104","","David Domenic","Langheier","Langheier, David Domenic","","REP","8915.0","0.18003554263096247","","","","","","","","",""
"749.0","Florida","FL","09","","","","","","Party Votes:","REP","49518.0","","","","","","","","","",""
"750.0","Florida","FL","09","H6FL09138","","Phyllis ","Busansky","Busansky, Phyllis ","","DEM","Unopposed","","","","96978.0","0.4407830446382714","","","","",""
"751.0","Florida","FL","09","H2FL09095","","Andrew ","Pasayan","Pasayan, Andrew ","","W","","","","","19.0","8.63585333593924e-05","","","","",""
"752.0","Florida","FL","09","","","","","","District Votes:","","49518.0","","","","220013.0","","","","","",""
"753.0","Florida","FL","10","H6FL06035","(I)","C.W. Bill","Young","Young, C.W. Bill","","REP","Unopposed","","","","131488.0","0.6592694727869839","","","","",""
"754.0","Florida","FL","10","H6FL10102","","Samm","Simpson","Simpson, Samm","","DEM","Unopposed","","","","67950.0","0.34069542981774426","","","","",""
"755.0","Florida","FL","10","H6FL10110","","Salvatore A.","Fiorella","Fiorella, Salvatore A.","","W","","","","","7.0","3.509739527187946e-05","","","","",""
"756.0","Florida","FL","10","","","","","","District Votes:","","","","","","199445.0","","","","","",""
"757.0","Florida","FL","11","H6FL11126","","Kathy ","Castor","Castor, Kathy ","","DEM","21310.0","0.5395756317415303","","","97470.0","0.6965028368895685","","","","",""
"758.0","Florida","FL","11","H6FL11100","","Lesley ""Les""","Miller","Miller, Lesley ""Les""","","DEM","13474.0","0.3411657466957006","","","","","","","","",""
"759.0","Florida","FL","11","H6FL11118","","Scott ","Farrell","Farrell, Scott ","","DEM","1721.0","0.04357623942877399","","","","","","","","",""
"760.0","Florida","FL","11","H6FL11159","","Al ","Fox","Fox, Al ","","DEM","1653.0","0.041854458905150146","","","","","","","","",""
"761.0","Florida","FL","11","H6FL11142","","Michael A. ","Steinberg","Steinberg, Michael A. ","","DEM","1336.0","0.03382792322884489","","","","","","","","",""
"762.0","Florida","FL","11","","","","","","Party Votes:","DEM","39494.0","","","","","","","","","",""
"763.0","Florida","FL","11","H6FL11175","","Eddie , Jr.","Adams","Adams, Eddie , Jr.","","REP","Unopposed","","","","42454.0","0.3033685383944777","","","","",""
"764.0","Florida","FL","11","H6FL11167","","Jim ","Greenwald","Greenwald, Jim ","","W","","","","","13.0","9.289562818882108e-05","","","","",""
"765.0","Florida","FL","11","H6FL11191","","R. J. ","Spencer","Spencer, R. J. ","","W","","","","","5.0","3.572908776493118e-05","","","","",""
"766.0","Florida","FL","11","","","","","","District Votes:","","39494.0","","","","139942.0","","","","","",""
"767.0","Florida","FL","12","H0FL12051","(I)","Adam H. ","Putnam","Putnam, Adam H. ","","REP","Unopposed","","","","124452.0","0.6911542562644393","","","","",""
"768.0","Florida","FL","12","H6FL12157","","Joe ","Viscusi","Viscusi, Joe ","","IND","","","","","34976.0","0.19424204727208103","","","","",""
"769.0","Florida","FL","12","H6FL12165","","Ed ","Bowlin","Bowlin, Ed ","","IND","","","","","20636.0","0.11460369646347965","","","","",""
"770.0","Florida","FL","12","","","","","","District Votes:","","","","","","180064.0","","","","","",""
"771.0","Florida","FL","13","H6FL13148","","Vern ","Buchanan","Buchanan, Vern ","","REP","20918.0","0.3233375583516246","","","119309.0","0.5007743998925493","","","","",""
"772.0","Florida","FL","13","H6FL13122","","Nancy Carroll","Detert","Detert, Nancy Carroll","","REP","15804.0","0.2442884966148329","","","","","","","","",""
"773.0","Florida","FL","13","H6FL13114","","Tramm ","Hudson","Hudson, Tramm ","","REP","15535.0","0.2401304603208953","","","","","","","","",""
"774.0","Florida","FL","13","H6FL13171","","Mark G. ","Flanagan","Flanagan, Mark G. ","","REP","6465.0","0.09993198751043374","","","","","","","","",""
"775.0","Florida","FL","13","H6FL13155","","Donna ","Clarke","Clarke, Donna ","","REP","5972.0","0.0923114972022135","","","","","","","","",""
"776.0","Florida","FL","13","","","","","","Party Votes:","REP","64694.0","","","","","","","","","",""
"777.0","Florida","FL","13","H4FL13069","","Christine","Jennings","Jennings, Christine","","DEM","23768.0","0.6178802610029376","","","118940.0","0.4992256001074506","","","","",""
"778.0","Florida","FL","13","H2FL13139","","Jan","Schneider","Schneider, Jan","","DEM","14699.0","0.3821197389970624","","","","","","","","",""
"779.0","Florida","FL","13","","","","","","Party Votes:","DEM","38467.0","","","","","","","","","",""
"780.0","Florida","FL","13","","","","","","District Votes:","","103161.0","","","","238249.0","","","","","",""
"781.0","Florida","FL","14","H4FL14059","(I)","Connie","Mack","Mack, Connie","","REP","Unopposed","","","","151615.0","0.6436938256509538","","","","",""
"782.0","Florida","FL","14","H4FL14091","","Robert M.","Neeld","Neeld, Robert M.","","DEM","Unopposed","","","","83920.0","0.35628919202340165","","","","",""
"783.0","Florida","FL","14","H6FL14088","","Richard ","Grayson","Grayson, Richard ","","W","","","","","3.0","1.2736744233439048e-05","","","","",""
"784.0","Florida","FL","14","H6FL14096","","Dan ","","Dan ","","W","","","","","1.0","4.24558141114635e-06","","","","",""
"785.0","Florida","FL","14","","","","","","District Votes:","","","","","","235539.0","","","","","",""
"786.0","Florida","FL","15","H4FL15114","(I)","Dave","Weldon","Weldon, Dave","","REP","Unopposed","","","","125965.0","0.5628488062949343","","","","",""
"787.0","Florida","FL","15 ","H6FL15135","","Bob","Bowman","Bowman, Bob","","DEM","14965.0","0.5444788066217937","","","97834.0","0.4371511937050657","","","","",""
"788.0","Florida","FL","15","H6FL15143","","John M. ","Kennedy","Kennedy, John M. ","","DEM","12520.0","0.4555211933782063","","","","","","","","",""
"789.0","Florida","FL","15","","","","","","Party Votes:","DEM","27485.0","","","","","","","","","",""
"790.0","Florida","FL","15","","","","","","District Votes:","","27485.0","","","","223799.0","","","","","",""
"791.0","Florida","FL","16","H6FL16059","","Tim ","Mahoney","Mahoney, Tim ","","DEM","Unopposed","","","","115832.0","0.49548921389553113","","","","",""
"792.0","Florida","FL","16","H4FL16021","(I)","Mark","Foley","Foley, Mark","","REP*","Unopposed","","","","","","","","","","4.0"
"793.0","Florida","FL","16","H4FL16104","","Joe","Negron","Negron, Joe","","REP","*","","","","111415.0","0.4765948163389271","","","","","4.0"
"794.0","Florida","FL","16","H6FL16075","","Emmie","Ross","Ross, Emmie","","IND","","","","","6526.0","0.027915969765541785","","","","",""
"795.0","Florida","FL","16","","","","","","District Votes:","","","","","","233773.0","","","","","",""
"796.0","Florida","FL","17","H2FL17056","(I)","Kendrick B.","Meek","Meek, Kendrick B.","","DEM","32426.0","0.8938692248318447","","","90663.0","0.9997463776106565","","","","",""
"797.0","Florida","FL","17","H6FL17032","","Dufirstson ","Neree","Neree, Dufirstson ","","DEM","3850.0","0.10613077516815525","","","","","","","","",""
"798.0","Florida","FL","17","","","","","","Party Votes:","DEM","36276.0","","","","","","","","","",""
"799.0","Florida","FL","17","H6FL17057","","Eric ","Simpson","Simpson, Eric ","","W","","","","","23.0","0.0002536223893434488","","","","",""
"800.0","Florida","FL","17","","","","","","District Votes:","","36276.0","","","","90686.0","","","","","",""
"801.0","Florida","FL","18","H0FL18025","(I)","Ileana","Ros-Lehtinen","Ros-Lehtinen, Ileana","","REP","Unopposed","","","","79631.0","0.6214762900758593","","","","",""
"802.0","Florida","FL","18","H4FL18027","","David ""Big Dave""","Patlak","Patlak, David ""Big Dave""","","DEM","Unopposed","","","","48499.0","0.3785081010208223","","","","",""
"803.0","Florida","FL","18","H6FL18030","","Margaret ","Trowe","Trowe, Margaret ","","W","","","","","2.0","1.5608903318452845e-05","","","","",""
"804.0","Florida","FL","18","","","","","","District Votes:","","","","","","128132.0","","","","","",""
"805.0","Florida","FL","19","H6FL19038","(I)","Robert ","Wexler","Wexler, Robert ","","DEM","Unopposed","","","","Unopposed","","","","","",""
"806.0","Florida","FL","19","","","","","","District Votes:","","","","","","","","","","","",""
"807.0","Florida","FL","20","H4FL20023","(I)","Debbie ","Wasserman Schultz","Wasserman Schultz, Debbie ","","DEM","Unopposed","","","","Unopposed","","","","","",""
"808.0","Florida","FL","20","","","","","","District Votes:","","","","","","","","","","","",""
"809.0","Florida","FL","21","H2FL19037","(I)","Lincoln","Diaz-Balart","Diaz-Balart, Lincoln","","REP","Unopposed","","","","66784.0","0.5946610154399586","","","","",""
"810.0","Florida","FL","21","H4FL21047","","Frank J.","Gonzalez","Gonzalez, Frank J.","","DEM","Unopposed","","","","45522.0","0.4053389845600413","","","","",""
"811.0","Florida","FL","21","","","","","","District Votes:","","","","","","112306.0","","","","","",""
"812.0","Florida","FL","22","H6FL22040","","Ron ","Klein","Klein, Ron ","","DEM","Unopposed","","","","108688.0","0.5088270405655299","","","","",""
"813.0","Florida","FL","22","H0FL12010","(I)","E. Clay ","Shaw","Shaw, E. Clay ","","REP","Unopposed","","","","100663.0","0.47125769527866856","","","","",""
"814.0","Florida","FL","22","H6FL22065","","Neil ","Evangelista","Evangelista, Neil ","","IND","","","","","4254.0","0.019915264155801596","","","","",""
"815.0","Florida","FL","22","","","","","","District Votes:","","","","","","213605.0","","","","","",""
"816.0","Florida","FL","23","H2FL23021","(I)","Alcee L. ","Hastings","Hastings, Alcee L. ","","DEM","Unopposed","","","","Unopposed","","","","","",""
"817.0","Florida","FL","23","","","","","","District Votes:","","","","","","","","","","","",""
"818.0","Florida","FL","24","H2FL00250","(I)","Tom","Feeney","Feeney, Tom","","REP","Unopposed","","","","123795.0","0.5794072770502392","","","","",""
"819.0","Florida","FL","24","H6FL24020","","Clint ","Curtis","Curtis, Clint ","","DEM","15464.0","0.6117088607594937","","","89863.0","0.42059272294976086","","","","",""
"820.0","Florida","FL","24","H6FL24012","","""Dr. Andy""","Michaud","Michaud, ""Dr. Andy""","","DEM","9816.0","0.38829113924050634","","","","","","","","",""
"821.0","Florida","FL","24","","","","","","Party Votes:","DEM","25280.0","","","","","","","","","",""
"822.0","Florida","FL","24","","","","","","District Votes:","","25280.0","","","","213658.0","","","","","",""
"823.0","Florida","FL","25","H2FL25018","(I)","Mario","Diaz-Balart","Diaz-Balart, Mario","","REP","Unopposed","","","","60765.0","0.5846554992158409","","","","",""
