"1.0","STATE","STATE ABBREVIATION","DISTRICT","FEC ID#","INCUMBENT INDICATOR (I)","CANDIDATE NAME (First)","Candidate Name (Last)","CANDIDATE NAME","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)","FOOTNOTES"
"2.0","Alabama","AL","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","Unopposed","","","","210660.0","0.9827072263921219","","","","",""
"3.0","Alabama","AL","01","n/a","","","Scattered","Scattered","","W","","","","","3707.0","0.01729277360787808","","","","",""
"4.0","Alabama","AL","01","H8AL01058","","Thomas E.","Fuller","Fuller, Thomas E. #","","D","Unopposed","","","","#","","","","","","# Thomas Fuller withdrew after the primary election."
"5.0","Alabama","AL","01","n/a","","","","","District Votes:","","n/a","","","","214367.0","","","","","",""
"6.0","Alabama","AL","02","H8AL02130","","Bobby","Bright","Bright, Bobby","","D","19456.0","0.6663698325170394","","","144368.0","0.5023347738644509","","","","",""
"7.0","Alabama","AL","02","H8AL02155","","Cendie","Crawley","Crawley, Cendie","","D","5110.0","0.17501798129944857","","","","","","","","",""
"8.0","Alabama","AL","02","H8AL02148","","Cheryl","Sabel","Sabel, Cheryl","","D","4631.0","0.158612186183512","","","","","","","","",""
"9.0","Alabama","AL","02","n/a","","","","","Party Votes:","D","29197.0","","","","","","","","","",""
"10.0","Alabama","AL","02","H8AL02080","","Jay","Love","Love, Jay","","R","20131.0","0.3548250638935401","24725.0","0.5311264822134387","142578.0","0.4961063905300737","","","","",""
"11.0","Alabama","AL","02","H8AL02106","","Harri Anne","Smith","Smith, Harri Anne","","R","12349.0","0.21766105578567022","21827.0","0.4688735177865613","","","","","","",""
"12.0","Alabama","AL","02","H8AL02122","","Craig D.","Schmidtke","Schmidtke, Craig D.","","R","11350.0","0.20005287741253194","","","","","","","","",""
"13.0","Alabama","AL","02","H4AL02048","","David","Woods","Woods, David","","R","9757.0","0.17197497135806822","","","","","","","","",""
"14.0","Alabama","AL","02","H8AL02114","","David","Grimes","Grimes, David","","R","2324.0","0.04096236890808143","","","","","","","","",""
"15.0","Alabama","AL","02","H8AL02098","","John W.","Martin","Martin, John W.","","R","824.0","0.014523662642108047","","","","","","","","",""
"16.0","Alabama","AL","02","n/a","","","","","Party Votes:","R","56735.0","","46552.0","","","","","","","",""
"17.0","Alabama","AL","02","n/a","","","Scattered","Scattered","","W","","","","","448.0","0.00155883560547541","","","","",""
"18.0","Alabama","AL","02","n/a","","","","","District Votes:","","85932.0","","46552.0","","287394.0","","","","","",""
"19.0","Alabama","AL","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","142708.0","0.5403150083295472","","","","",""
"20.0","Alabama","AL","03","H8AL03047","","Joshua","Segall","Segall, Joshua","","D","Unopposed","","","","121080.0","0.45842798727850975","","","","",""
"21.0","Alabama","AL","03","n/a","","","Scattered","Scattered","","W","","","","","332.0","0.0012570043919430563","","","","",""
"22.0","Alabama","AL","03","n/a","","","","","District Votes:","","","","","","264120.0","","","","","",""
"23.0","Alabama","AL","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","196741.0","0.7475899333883048","","","","",""
"24.0","Alabama","AL","04","H8AL04052","","Nicholas B.","Sparks","Sparks, Nicholas B.","","D","15777.0","0.5809337948302526","","","66077.0","0.2510839124966276","","","","",""
"25.0","Alabama","AL","04","H8AL04045","","Greg","Warren","Warren, Greg","","D","11381.0","0.4190662051697474","","","","","","","","",""
"26.0","Alabama","AL","04","n/a","","","","","Party Votes:","D","27158.0","","","","","","","","","",""
"27.0","Alabama","AL","04","n/a","","","Scattered","Scattered","","W","","","","","349.0","0.0013261541150676186","","","","",""
"28.0","Alabama","AL","04","n/a","","","","","District Votes:","","27158.0","","","","263167.0","","","","","",""
"29.0","Alabama","AL","05","H8AL05109","","Parker","Griffith","Griffith, Parker","","D","34543.0","0.8991592263841528","","","158324.0","0.5152400726368612","","","","",""
"30.0","Alabama","AL","05","H8AL05117","","David","Maker","Maker, David","","D","3874.0","0.10084077361584715","","","","","","","","",""
"31.0","Alabama","AL","05","n/a","","","","","Party Votes:","D","38417.0","","","","","","","","","",""
"32.0","Alabama","AL","05","H4AL05025","","Wayne","Parker","Parker, Wayne","","R","18515.0","0.4879945178039588","16031.0","0.7873385393644713","147314.0","0.47940979295891073","","","","",""
"33.0","Alabama","AL","05","H8AL05133","","Cheryl Baswell","Guthrie","Guthrie, Cheryl Baswell","","R","6942.0","0.1829682928757808","4330.0","0.2126614606355287","","","","","","",""
"34.0","Alabama","AL","05","H8AL05166","","Angelo ""Doc""","Mancuso","Mancuso, Angelo ""Doc""","","R","6161.0","0.16238370100946206","","","","","","","","",""
"35.0","Alabama","AL","05","H8AL05091","","Ray","McKee","McKee, Ray","","R","3342.0","0.08808413062386336","","","","","","","","",""
"36.0","Alabama","AL","05","H8AL05141","","George C.","Barry","Barry, George C.","","R","2274.0","0.059935162489127856","","","","","","","","",""
"37.0","Alabama","AL","05","H8AL05158","","Mark","Huff","Huff, Mark","","R","707.0","0.01863419519780712","","","","","","","","",""
"38.0","Alabama","AL","05","n/a","","","","","Party Votes:","R","37941.0","","20361.0","","","","","","","",""
"39.0","Alabama","AL","05","n/a","","","Scattered","Scattered","","W","","","","","1644.0","0.0053501344042280385","","","","",""
"40.0","Alabama","AL","05","n/a","","","","","District Votes:","","76358.0","","20361.0","","307282.0","","","","","",""
"41.0","Alabama","AL","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","Unopposed","","","","280902.0","0.9779450418991982","","","","",""
"42.0","Alabama","AL","06","n/a","","","Scattered","Scattered","","W","","","","","6335.0","0.022054958100801776","","","","",""
"43.0","Alabama","AL","06","n/a","","","","","District Votes:","","","","","","287237.0","","","","","",""
"44.0","Alabama","AL","07","H0AL07060","(I)","Artur","Davis","Davis, Artur","","D","Unopposed","","","","228518.0","0.9862624675767476","","","","",""
"45.0","Alabama","AL","07","n/a","","","Scattered","Scattered","","W","","","","","3183.0","0.013737532423252381","","","","",""
"46.0","Alabama","AL","07","n/a","","","","","District Votes:","","","","","","231701.0","","","","","",""
"47.0","Alabama","AL","H","n/a","","","","","Total House Votes:","","189448.0","","66913.0","","1855268.0","","","","","",""
"48.0","Alabama","AL","S","S6AL00195","(I)","Jeff","Sessions","Sessions, Jeff","","R","199690.0","0.9227477727255924","","","1305383.0","0.6336223194839702","","","","",""
"49.0","Alabama","AL","S","S8AL00167","","Earl Mack","Gavin","Gavin, Earl Mack","","R","16718.0","0.0772522272744076","","","","","","","","",""
"50.0","Alabama","AL","S","n/a","","","","","Party Votes:","R","216408.0","","","","","","","","","",""
"51.0","Alabama","AL","S","S8AL00282","","Vivian Davis","Figures","Figures, Vivian Davis","","D","112074.0","0.6371859525041361","","","752391.0","0.36520448832171387","","","","",""
"52.0","Alabama","AL","S","S0AL00149","","Johnny, III","Swanson","Swanson, Johnny, III","","D","38757.0","0.2203491975052448","","","","","","","","",""
"53.0","Alabama","AL","S","S8AL00290","","Mark ""No NCAA""","Townsend","Townsend, Mark ""No NCAA""","","D","25058.0","0.1424648499906191","","","","","","","","",""
"54.0","Alabama","AL","S","n/a","","","","","Party Votes:","D","175889.0","","","","","","","","","",""
"55.0","Alabama","AL","S","n/a","","","Scattered","Scattered","","W","","","","","2417.0","0.001173192194315964","","","","",""
"56.0","Alabama","AL","S","n/a","","","","","Total Senate Votes:","","392297.0","","","","2060191.0","","","","","",""
"57.0","Alaska","AK","00","H6AK00045","(I)","Don E.","Young","Young, Don E.","","R","48195.0","0.4547255795522092","","","158939.0","0.5014196568847049","","","","",""
"58.0","Alaska","AK","00","H8AK00124","","Sean R.","Parnell","Parnell, Sean R.","","R","47891.0","0.45185730325417267","","","","","","","","",""
"59.0","Alaska","AK","00","H8AK00116","","Gabrielle","LeDoux","LeDoux, Gabrielle","","R","9901.0","0.09341711719361809","","","","","","","","",""
"60.0","Alaska","AK","00","n/a","","","","","Party Votes:","R","105987.0","","","","","","","","","",""
"61.0","Alaska","AK","00","H8AK00108","","Ethan A.","Berkowitz","Berkowitz, Ethan A.","","D","39784.0","0.5839338920608828","","","142560.0","0.44974730107452254","","","","",""
"62.0","Alaska","AK","00","H6AK00144","","Diane E.","Benson","Benson, Diane E.","","D","28347.0","0.4160661079391173","","","","","","","","",""
"63.0","Alaska","AK","00","n/a","","","","","Party Votes:","D","68131.0","","","","","","","","","",""
"64.0","Alaska","AK","00","H6AK00094","","Don R.","Wright","Wright, Don R.","","AKI","6690.0","1.0","","","14274.0","0.04503151638284045","","","","",""
"65.0","Alaska","AK","00","n/a","","","","","Party Votes:","AKI","6690.0","","","","","","","","","",""
"66.0","Alaska","AK","00","n/a","","","Scattered","Scattered","","W","","","","","1205.0","0.0038015256579320964","","","","",""
"67.0","Alaska","AK","00","n/a","","","","","District Votes:","","180808.0","","","","316978.0","","","","","",""
"68.0","Alaska","AK","H","n/a","","","","","Total House Votes:","","180808.0","","","","316978.0","","","","","",""
"69.0","Alaska","AK","S","S8AK00090","","Mark","Begich","Begich, Mark","","D","63747.0","0.9081804194210167","","","151767.0","0.4776708012954681","","","","",""
"70.0","Alaska","AK","S","S8AK00082","","Ray","Metcalfe","Metcalfe, Ray","","D","5480.0","0.07807157510827445","","","","","","","","",""
"71.0","Alaska","AK","S","S0AK00097","","Frank J.","Vondersaar","Vondersaar, Frank J.","","D","965.0","0.013748005470708913","","","","","","","","",""
"72.0","Alaska","AK","S","n/a","","","","","Party Votes:","D","70192.0","","","","","","","","","",""
"73.0","Alaska","AK","S","S2AK00010","(I)","Ted","Stevens","Stevens, Ted","","R","66900.0","0.6351708030305907","","","147814.0","0.46522914614302396","","","","",""
"74.0","Alaska","AK","S","S6AK00078","","David W.","Cuddy","Cuddy, David W.","","R","28364.0","0.2692972295539563","","","","","","","","",""
"75.0","Alaska","AK","S","S8AK00124","","Vic","Vickers","Vickers, Vic","","R","6102.0","0.05793441315534626","","","","","","","","",""
"76.0","Alaska","AK","S","S8AK00132","","Michael D.","Corey","Corey, Michael D.","","R","1496.0","0.014203520498262538","","","","","","","","",""
"77.0","Alaska","AK","S","S8AK00108","","Roderic H. ""Rick""","Sikma","Sikma, Roderic H. ""Rick""","","R","1133.0","0.010757078024419421","","","","","","","","",""
"78.0","Alaska","AK","S","S8AK00157","","Rich M.","Wanda","Wanda, Rich M.","","R","732.0","0.006949850938989423","","","","","","","","",""
"79.0","Alaska","AK","S","S8AK00140","","Gerald L. ""Jerry""","Heikes","Heikes, Gerald L. ""Jerry""","","R","599.0","0.0056871047984353345","","","","","","","","",""
"80.0","Alaska","AK","S","n/a","","","","","Party Votes:","R","105326.0","","","","","","","","","",""
"81.0","Alaska","AK","S","S0AK00105","","Bob","Bird","Bird, Bob","","AKI","4216.0","1.0","","","13197.0","0.04153618088712495","","","","",""
"82.0","Alaska","AK","S","n/a","","","","","Party Votes:","AKI","4216.0","","","","","","","","","",""
"83.0","Alaska","AK","S","S8AK00165","","Fredrick D. ""David""","Haase","Haase, Fredrick D. ""David""","","LBT","1375.0","1.0","","","2483.0","0.00781498349190962","","","","",""
"84.0","Alaska","AK","S","n/a","","","","","Party Votes:","LBT","1375.0","","","","","","","","","",""
"85.0","Alaska","AK","S","S4AK00115","","Ted","Gianoutsos","Gianoutsos, Ted","","NNE","n/a","","","","1385.0","0.004359143027102224","","","","",""
"86.0","Alaska","AK","S","n/a","","","Scattered","Scattered","","W","","","","","1077.0","0.003389745155371188","","","","",""
"87.0","Alaska","AK","S","n/a","","","","","Total Senate Votes:","","181109.0","","","","317723.0","","","","","",""
"88.0","American Samoa","AS","00","H0AS00018","(I)","Eni F. H.","Faleomavaega","Faleomavaega, Eni F. H.","","D","n/a","","","","7499.0","0.6038328367823497","","","","",""
"89.0","American Samoa","AS","00","H8AS00052","","Rosie F. Tago","Lancaster","Lancaster, Rosie F. Tago","","I","n/a","","","","570.0","0.04589741525082535","","","","",""
"90.0","American Samoa","AS","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","R","n/a","","","","4350.0","0.35026974796682503","","","","",""
"91.0","American Samoa","AS","00","n/a","","","","","District Votes:","","n/a","","","","12419.0","","","","","",""
"92.0","American Samoa","AS","H","n/a","","","","","Total House Votes:","","n/a","","","","12419.0","","","","","",""
"93.0","Arizona","AZ","01","H8AZ01104","","Ann","Kirkpatrick","Kirkpatrick, Ann","","D","26734.0","0.4723822313319433","","","155791.0","0.5588173049675917","","","","",""
"94.0","Arizona","AZ","01","H8AZ01096","","Mary Kim","Titla","Titla, Mary Kim","","D","18428.0","0.32561755663144504","","","","","","","","",""
"95.0","Arizona","AZ","01","H8AZ01070","","Howard","Shanker","Shanker, Howard","","D","8056.0","0.14234724529102025","","","","","","","","",""
"96.0","Arizona","AZ","01","H8AZ01138","","Jeffrey","Brown","Brown, Jeffrey","","D","3376.0","0.0596529667455914","","","","","","","","",""
"97.0","Arizona","AZ","01","n/a","","","","","Party Votes:","D","56594.0","","","","","","","","","",""
"98.0","Arizona","AZ","01","H2AZ01149","","Sydney","Hay","Hay, Sydney","","R","17825.0","0.390625","","","109924.0","0.3942938515784452","","","","",""
"99.0","Arizona","AZ","01","H8AZ01179","","Sandra L. B.","Livingstone","Livingstone, Sandra L. B.","","R","15621.0","0.34232556100981765","","","","","","","","",""
"100.0","Arizona","AZ","01","H8AZ01187","","Tom","Hansen","Hansen, Tom","","R","7847.0","0.1719626577840112","","","","","","","","",""
"101.0","Arizona","AZ","01","H8AZ01195","","Barry","Hall","Hall, Barry","","R","2743.0","0.06011132538569425","","","","","","","","",""
"102.0","Arizona","AZ","01","H8AZ01146","","Preston","Korn","Korn, Preston","","R","1596.0","0.034975455820476856","","","","","","","","",""
"103.0","Arizona","AZ","01","n/a","","","","","Party Votes:","R","45632.0","","","","","","","","","",""
"104.0","Arizona","AZ","01","H8AZ01120","","Brent","Maupin","Maupin, Brent","","I","n/a","n/a","","","9394.0","0.033695975780793225","","","","",""
"105.0","Arizona","AZ","01","H8AZ01203","","Thane","Eichenauer","Eichenauer, Thane","","W(LBT)/LBT","43.0","1.0","","","3678.0","0.01319286767316984","","","","",""
"106.0","Arizona","AZ","01","n/a","","","","","Party Votes:","LBT","43.0","","","","","","","","","",""
"107.0","Arizona","AZ","01","n/a","","","","","District Votes:","","102269.0","","","","278787.0","","","","","",""
"108.0","Arizona","AZ","02","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","R","58707.0","1.0","","","200914.0","0.5943796723891569","","","","",""
"109.0","Arizona","AZ","02","n/a","","","","","Party Votes:","R","58707.0","","","","","","","","","",""
"110.0","Arizona","AZ","02","H6AZ02155","","John","Thrasher","Thrasher, John","","D","27711.0","1.0","","","125611.0","0.37160489079145503","","","","",""
"111.0","Arizona","AZ","02","n/a","","","","","Party Votes:","D","27711.0","","","","","","","","","",""
"112.0","Arizona","AZ","02","H4AZ02119","","Powell","Gammill","Gammill, Powell","","LBT","199.0","1.0","","","7882.0","0.023317939903497693","","","","",""
"113.0","Arizona","AZ","02","n/a","","","","","Party Votes:","LBT","199.0","","","","","","","","","",""
"114.0","Arizona","AZ","02","H6AZ00027","","William","Crum","Crum, William","","GRE","118.0","1.0","","","3616.0","0.010697496915890338","","","","",""
"115.0","Arizona","AZ","02","n/a","","","","","Party Votes:","GRE","118.0","","","","","","","","","",""
"116.0","Arizona","AZ","02","n/a","","","","","District Votes:","","86735.0","","","","338023.0","","","","","",""
"117.0","Arizona","AZ","03","H4AZ04016","(I)","John","Shadegg","Shadegg, John","","R","43538.0","1.0","","","148800.0","0.5407743103128714","","","","",""
"118.0","Arizona","AZ","03","n/a","","","","","Party Votes:","R","43538.0","","","","","","","","","",""
"119.0","Arizona","AZ","03","H8AZ03100","","Bob","Lord","Lord, Bob","","D","22554.0","1.0","","","115759.0","0.4206955200773365","","","","",""
"120.0","Arizona","AZ","03","n/a","","","","","Party Votes:","D","22554.0","","","","","","","","","",""
"121.0","Arizona","AZ","03","H8AZ03134","","Michael","Shoen","Shoen, Michael","","LBT","228.0","1.0","","","10602.0","0.03853016960979209","","","","",""
"122.0","Arizona","AZ","03","n/a","","","","","Party Votes:","LBT","228.0","","","","","","","","","",""
"123.0","Arizona","AZ","03","n/a","","","","","District Votes:","","66320.0","","","","275161.0","","","","","",""
"124.0","Arizona","AZ","04","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","D","18660.0","1.0","","","89721.0","0.7210734004677442","","","","",""
"125.0","Arizona","AZ","04","n/a","","","","","Party Votes:","D","18660.0","","","","","","","","","",""
"126.0","Arizona","AZ","04","H2AZ04101","","Don","Karg","Karg, Don","","R","8073.0","0.9990100235119416","","","26435.0","0.2124538886254591","","","","",""
"127.0","Arizona","AZ","04","H8AZ06012","","Richard","Grayson","Grayson, Richard","","W(R)","8.0","0.0009899764880584086","","","","","","","","",""
"128.0","Arizona","AZ","04","n/a","","","","","Party Votes:","R","8081.0","","","","","","","","","",""
"129.0","Arizona","AZ","04","H8AZ04116","","Rebecca","DeWitt","DeWitt, Rebecca","","GRE","71.0","1.0","","","4464.0","0.035876457682014355","","","","",""
"130.0","Arizona","AZ","04","n/a","","","","","Party Votes:","GRE","71.0","","","","","","","","","",""
"131.0","Arizona","AZ","04","H8AZ04124","","Joe","Cobb","Cobb, Joe","","LBT","156.0","1.0","","","3807.0","0.0305962532247824","","","","",""
"132.0","Arizona","AZ","04","n/a","","","","","Party Votes:","LBT","156.0","","","","","","","","","",""
"133.0","Arizona","AZ","04","n/a","","","","","District Votes:","","26968.0","","","","124427.0","","","","","",""
"134.0","Arizona","AZ","05","H6AZ05067","(I)","Harry","Mitchell","Mitchell, Harry","","D","25174.0","1.0","","","149033.0","0.5315677777183314","","","","",""
"135.0","Arizona","AZ","05","n/a","","","","","Party Votes:","D","25174.0","","","","","","","","","",""
"136.0","Arizona","AZ","05","H4AZ06045","","David","Schweikert","Schweikert, David","","R","14233.0","0.2949538907885193","","","122165.0","0.43573555900344196","","","","",""
"137.0","Arizona","AZ","05","H4AZ01061","","Susan","Bitter Smith","Bitter Smith, Susan","","R","13212.0","0.27379546161019586","","","","","","","","",""
"138.0","Arizona","AZ","05","H8AZ05089","","Laura","Knaperek","Knaperek, Laura","","R","7523.0","0.15590094290747072","","","","","","","","",""
"139.0","Arizona","AZ","05","H8AZ05113","","Mark","Anderson","Anderson, Mark","","R","6539.0","0.13550927365039891","","","","","","","","",""
"140.0","Arizona","AZ","05","H8AZ05071","","Jim","Ogsbury","Ogsbury, Jim","","R","6042.0","0.12520982281628848","","","","","","","","",""
"141.0","Arizona","AZ","05","H8AZ05121","","Lee","Gentry","Gentry, Lee","","R","706.0","0.014630608227126723","","","","","","","","",""
"142.0","Arizona","AZ","05","n/a","","","","","Party Votes:","R","48255.0","","","","","","","","","",""
"143.0","Arizona","AZ","05","H2AZ05124","","Warren","Severin","Severin, Warren","","LBT","207.0","1.0","","","9158.0","0.03266456226704475","","","","",""
"144.0","Arizona","AZ","05","n/a","","","","","Party Votes:","LBT","207.0","","","","","","","","","",""
"145.0","Arizona","AZ","05","H8AZ05147","","Ralph","Hughes","Hughes, Ralph","","W","n/a","n/a","","","9.0","3.210101118185223e-05","","","","",""
"146.0","Arizona","AZ","05","n/a","","","","","District Votes:","","73636.0","","","","280365.0","","","","","",""
"147.0","Arizona","AZ","06","H0AZ01184","(I)","Jeff","Flake","Flake, Jeff","","R","51562.0","1.0","","","208582.0","0.6241681030355262","","","","",""
"148.0","Arizona","AZ","06","n/a","","","","","Party Votes:","R","51562.0","","","","","","","","","",""
"149.0","Arizona","AZ","06","H8AZ06053","","Rebecca ","Schneider","Schneider, Rebecca ","","D","15644.0","0.7375070714689799","","","115457.0","0.3454975821124198","","","","",""
"150.0","Arizona","AZ","06","H8AZ06046","","Chris","Gramazio","Gramazio, Chris","","D","5568.0","0.2624929285310202","","","","","","","","",""
"151.0","Arizona","AZ","06","n/a","","","","","Party Votes:","D","21212.0","","","","","","","","","",""
"152.0","Arizona","AZ","06","H8AZ06061","","Rick","Biondi","Biondi, Rick","","LBT","175.0","1.0","","","10137.0","0.03033431485205401","","","","",""
"153.0","Arizona","AZ","06","n/a","","","","","Party Votes:","LBT","175.0","","","","","","","","","",""
"154.0","Arizona","AZ","06","n/a","","","","","District Votes:","","72949.0","","","","334176.0","","","","","",""
"156.0","Arizona","AZ","07","n/a","","","","","Party Votes:","D","30630.0","","","","","","","","","",""
"157.0","Arizona","AZ","07","H4AZ02010","","Joseph","Sweeney","Sweeney, Joseph","","R","11011.0","0.6683459787556905","","","64425.0","0.32788095007863033","","","","",""
"158.0","Arizona","AZ","07","H8AZ07010","","Gene","Chewning","Chewning, Gene","","R","5464.0","0.33165402124430954","","","","","","","","",""
"159.0","Arizona","AZ","07","n/a","","","","","Party Votes:","R","16475.0","","","","","","","","","",""
"160.0","Arizona","AZ","07","H8AZ07036","","Raymond Patrick","Petrulsky","Petrulsky, Raymond Patrick","","W(LBT)/LBT","33.0","1.0","","","7755.0","0.03946785825160696","","","","",""
"161.0","Arizona","AZ","07","n/a","","","","","Party Votes:","LBT","33.0","","","","","","","","","",""
"162.0","Arizona","AZ","07","H8AZ07028","","Harley","Meyer","Meyer, Harley","","W","n/a","n/a","","","5.0","2.5446717119024475e-05","","","","",""
"163.0","Arizona","AZ","07","n/a","","","","","District Votes:","","47138.0","","","","196489.0","","","","","",""
"164.0","Arizona","AZ","08","H6AZ08038","(I)","Gabrielle","Giffords","Giffords, Gabrielle","","D","46223.0","1.0","","","179629.0","0.5472056198326967","","","","",""
"165.0","Arizona","AZ","08","n/a","","","","","Party Votes:","D","46223.0","","","","","","","","","",""
"166.0","Arizona","AZ","08","H8AZ08018","","Tim","Bee","Bee, Tim","","R","52671.0","1.0","","","140553.0","0.4281680100893787","","","","",""
"167.0","Arizona","AZ","08","n/a","","","","","Party Votes:","R","52671.0","","","","","","","","","",""
"168.0","Arizona","AZ","08","H8AZ08042","","Paul","Davis","Davis, Paul","","W(LBT)/W","40.0","1.0","","","8081.0","0.024617231147910534","","","","",""
"169.0","Arizona","AZ","08","n/a","","","","","Party Votes:","LBT","40.0","","","","","","","","","",""
"170.0","Arizona","AZ","08","H6AZ08160","","Paul","Price","Price, Paul","","W","n/a","n/a","","","3.0","9.138930014073952e-06","","","","",""
"171.0","Arizona","AZ","08","n/a","","","","","District Votes:","","98934.0","","","","328266.0","","","","","",""
"172.0","Arizona","AZ","H","n/a","","","","","Total House Votes:","","574949.0","","","","2155694.0","","","","","",""
"173.0","Arkansas","AR","01","H6AR01072","(I)","Marion","Berry","Berry, Marion","","D","Unopposed","","","","Unopposed","","","","","",""
"174.0","Arkansas","AR","01","n/a","","","","","District Votes:","","n/a","","","","n/a","","","","","",""
"175.0","Arkansas","AR","02","H6AR02203","(I)","Vic","Snyder","Snyder, Vic","","D","Unopposed","","","","212303.0","0.7654254667118536","","","","",""
"176.0","Arkansas","AR","02","H8AR02100","","Deb","McFarland","McFarland, Deb","","GRE","","","","","64398.0","0.23217697915389773","","","","",""
"177.0","Arkansas","AR","02","H8AR02118","","Danial","Suits","Suits, Danial","","W","","","","","665.0","0.00239755413424861","","","","",""
"178.0","Arkansas","AR","02","n/a","","","","","District Votes:","","","","","","277366.0","","","","","",""
"179.0","Arkansas","AR","03","H2AR03176","(I)","John","Boozman","Boozman, John","","R","Unopposed","","","","215196.0","0.7852550301774155","","","","",""
"180.0","Arkansas","AR","03","H8AR03058","","Abel Noah","Tomlinson","Tomlinson, Abel Noah","","GRE","","","","","58850.0","0.21474496982258454","","","","",""
"181.0","Arkansas","AR","03","n/a","","","","","District Votes:","","","","","","274046.0","","","","","",""
"182.0","Arkansas","AR","04","H0AR04038","(I)","Mike","Ross","Ross, Mike","","D","Unopposed","","","","203178.0","0.8617233788982148","","","","",""
"183.0","Arkansas","AR","04","H8AR04098","","Joshua","Drake","Drake, Joshua","","GRE","","","","","32603.0","0.13827662110178512","","","","",""
"184.0","Arkansas","AR","04","n/a","","","","","District Votes:","","","","","","235781.0","","","","","",""
"185.0","Arkansas","AR","H","n/a","","","","","Total House Votes:","","","","","","787193.0","","","","","",""
"186.0","Arkansas","AR","S","S0AR00028","(I)","Mark","Pryor","Pryor, Mark","","D","Unopposed","","","","804678.0","0.7953296947677004","","","","",""
"187.0","Arkansas","AR","S","S8AR00179","","Rebekah","Kennedy","Kennedy, Rebekah","","GRE","n/a","","","","207076.0","0.20467030523229954","","","","",""
"188.0","Arkansas","AR","S","n/a","","","","","Total Senate Votes:","","","","","","1011754.0","","","","","",""
"189.0","California","CA","01","H8CA01109","(I)","Mike","Thompson","Thompson, Mike","","D","69622.0","0.8771386096202787","","","197812.0","0.6810019554380456","","","","",""
"190.0","California","CA","01","H8CA01166","","Mitchell","Clogg","Clogg, Mitchell","","D","9752.0","0.12286139037972132","","","","","","","","",""
"191.0","California","CA","01","n/a","","","","","Party Votes:","D","79374.0","","","","","","","","","",""
"192.0","California","CA","01","H8CA01174","","Zane","Starkewolf","Starkewolf, Zane","","R","18346.0","0.5400011773709307","","","67853.0","0.23359566498664244","","","","",""
"193.0","California","CA","01","H8CA01158","","Douglas","Pharr","Pharr, Douglas","","R","15628.0","0.45999882262906927","","","","","","","","",""
"194.0","California","CA","01","n/a","","","","","Party Votes:","R","33974.0","","","","","","","","","",""
"195.0","California","CA","01","H8CA01182","","Carol","Wolman","Wolman, Carol","","GRE","2101.0","1.0","","","24793.0","0.08535418215869343","","","","",""
"196.0","California","CA","01","n/a","","","","","Party Votes:","GRE","2101.0","","","","","","","","","",""
"197.0","California","CA","01","n/a","","Pamela","Elizondo","Elizondo, Pamela","","W","","","","","14.0","4.819741661846925e-05","","","","",""
"198.0","California","CA","01","n/a","","","","","District Votes:","","115449.0","","","","290472.0","","","","","",""
"199.0","California","CA","02","H8CA02010","(I)","Wally","Herger","Herger, Wally","","R","62394.0","1.0","","","163459.0","0.5789499782175201","","","","",""
"200.0","California","CA","02","n/a","","","","","Party Votes:","R","62394.0","","","","","","","","","",""
"201.0","California","CA","02","H8CA02073","","Jeff","Morris","Morris, Jeff","","D","14750.0","0.34656954887218044","","","118878.0","0.4210500217824798","","","","",""
"202.0","California","CA","02","H4CA02072","","Arjinderpal","Sekhon","Sekhon, Arjinderpal","","D","14340.0","0.3369360902255639","","","","","","","","",""
"203.0","California","CA","02","H8CA00085","","John","Jacobson","Jacobson, John","","D","13470.0","0.31649436090225563","","","","","","","","",""
"204.0","California","CA","02","n/a","","","","","Party Votes:","D","42560.0","","","","","","","","","",""
"205.0","California","CA","02","n/a","","","","","District Votes:","","104954.0","","","","282337.0","","","","","",""
"206.0","California","CA","03","H6CA34112","(I)","Dan","Lungren","Lungren, Dan","","R","50532.0","1.0","","","155424.0","0.4949083892168663","","","","",""
"207.0","California","CA","03","n/a","","","","","Party Votes:","R","50532.0","","","","","","","","","",""
"208.0","California","CA","03","H6CA03091","","William","Durston","Durston, William","","D","37318.0","1.0","","","137971.0","0.43933372817994815","","","","",""
"209.0","California","CA","03","n/a","","","","","Party Votes:","D","37318.0","","","","","","","","","",""
"210.0","California","CA","03","H8CA03162","","Dina J.","Padilla","Padilla, Dina J.","","PAF","83.0","1.0","","","13378.0","0.042598854944817","","","","",""
"211.0","California","CA","03","n/a","","","","","Party Votes:","PAF","83.0","","","","","","","","","",""
"212.0","California","CA","03","H8CA03154","","Douglas Arthur","Tuma","Tuma, Douglas Arthur","","LBT","347.0","1.0","","","7273.0","0.023159027658368518","","","","",""
"213.0","California","CA","03","n/a","","","","","Party Votes:","LBT","347.0","","","","","","","","","",""
